real_time,simulated_time,pressure_bar,pressure_state,motion,distance_cm,room_state
2025-12-04T11:31:59.758694,11:12,0,empty,IN,999,moving_in_room
2025-12-04T11:32:00.259263,11:13,0,empty,IN,999,moving_in_room
2025-12-04T11:32:00.759467,11:14,0,empty,IN,999,moving_in_room
2025-12-04T11:32:01.259669,11:15,0,empty,IN,999,moving_in_room
2025-12-04T11:32:01.759873,11:16,0,empty,IN,999,moving_in_room
2025-12-04T11:32:02.260077,11:18,0,empty,IN,999,moving_in_room
2025-12-04T11:32:02.760281,11:19,0,empty,IN,999,moving_in_room
2025-12-04T11:32:03.260599,11:20,0,empty,IN,999,moving_in_room
2025-12-04T11:32:03.760809,11:21,0,empty,IN,999,moving_in_room
2025-12-04T11:32:04.261027,11:22,0,empty,IN,999,moving_in_room
2025-12-04T11:32:04.761231,11:24,0,empty,IN,999,moving_in_room
2025-12-04T11:32:05.261430,11:25,0,empty,IN,999,moving_in_room
2025-12-04T11:32:05.761631,11:26,0,empty,IN,999,moving_in_room
2025-12-04T11:32:06.262043,11:27,0,empty,IN,999,moving_in_room
2025-12-04T11:32:06.762250,11:28,0,empty,IN,999,moving_in_room
2025-12-04T11:32:07.262454,11:30,0,empty,IN,999,moving_in_room
2025-12-04T11:32:07.762657,11:31,0,empty,IN,999,moving_in_room
2025-12-04T11:32:08.262855,11:32,0,empty,IN,999,moving_in_room
2025-12-04T11:32:08.763056,11:33,0,empty,IN,999,moving_in_room
2025-12-04T11:32:09.263404,11:34,0,empty,IN,999,moving_in_room
2025-12-04T11:32:09.763581,11:36,0,empty,IN,999,moving_in_room
2025-12-04T11:32:10.263752,11:37,0,empty,IN,999,moving_in_room
2025-12-04T11:32:10.763928,11:38,0,empty,IN,999,moving_in_room
2025-12-04T11:32:11.264102,11:39,0,empty,IN,999,moving_in_room
2025-12-04T11:32:11.764275,11:40,0,empty,IN,999,moving_in_room
2025-12-04T11:32:12.264526,11:42,0,empty,IN,999,moving_in_room
2025-12-04T11:32:12.764702,11:43,0,empty,IN,999,moving_in_room
2025-12-04T11:32:13.264872,11:44,0,empty,IN,999,moving_in_room
2025-12-04T11:32:13.765047,11:45,0,empty,IN,999,moving_in_room
2025-12-04T11:32:14.265240,11:46,0,empty,IN,999,moving_in_room
2025-12-04T11:32:14.765475,11:48,0,empty,IN,999,moving_in_room
2025-12-04T11:32:15.265794,11:49,0,empty,IN,999,moving_in_room
2025-12-04T11:32:15.765993,11:50,0,empty,IN,999,moving_in_room
2025-12-04T11:32:16.266188,11:51,0,empty,IN,999,moving_in_room
2025-12-04T11:32:16.766389,11:52,0,empty,IN,999,moving_in_room
2025-12-04T11:32:17.266595,11:54,0,empty,IN,999,moving_in_room
2025-12-04T11:32:17.766798,11:55,0,empty,IN,999,moving_in_room
2025-12-04T11:32:18.267208,11:56,0,empty,IN,999,moving_in_room
2025-12-04T11:32:18.767412,11:57,0,empty,IN,999,moving_in_room
2025-12-04T11:32:19.267612,11:58,0,empty,IN,999,moving_in_room
2025-12-04T11:32:19.767805,12:00,0,empty,IN,999,moving_in_room
2025-12-04T11:32:20.267970,12:01,0,empty,OUT,999,room_empty
2025-12-04T11:32:20.768173,12:02,0,empty,OUT,999,room_empty
2025-12-04T11:32:21.268576,12:03,0,empty,OUT,999,room_empty
2025-12-04T11:32:21.768783,12:04,0,empty,OUT,999,room_empty
2025-12-04T11:32:22.268971,12:06,0,empty,OUT,999,room_empty
2025-12-04T11:32:22.769182,12:07,0,empty,OUT,999,room_empty
2025-12-04T11:32:23.269367,12:08,0,empty,OUT,999,room_empty
2025-12-04T11:32:23.769550,12:09,0,empty,OUT,999,room_empty
2025-12-04T11:32:24.269815,12:10,0,empty,OUT,999,room_empty
2025-12-04T11:32:24.769981,12:12,0,empty,OUT,999,room_empty
2025-12-04T11:32:25.270132,12:13,0,empty,OUT,999,room_empty
2025-12-04T11:32:25.770306,12:14,0,empty,OUT,999,room_empty
2025-12-04T11:32:26.270465,12:15,0,empty,OUT,999,room_empty
2025-12-04T11:32:26.770637,12:16,0,empty,OUT,999,room_empty
2025-12-04T11:32:27.270940,12:18,0,empty,OUT,999,room_empty
2025-12-04T11:32:27.771098,12:19,0,empty,OUT,999,room_empty
2025-12-04T11:32:28.271245,12:20,0,empty,OUT,999,room_empty
2025-12-04T11:32:28.771404,12:21,0,empty,OUT,999,room_empty
